question,true output
What major body systems can be affected by air pollution according to the technical brief?,"Air pollution can affect almost all organs and systems, including the respiratory, cardiovascular, cerebrovascular, reproductive and metabolic systems."
Which groups are identified as being most at risk from air pollution?,"Children, pregnant women, older people, people living with chronic disease, and people in the lowest socioeconomic groups are identified as being most at risk."
Approximately how many deaths globally are attributed to air pollution every year in the technical brief?,About 6.6 million deaths globally every year.
What proportion of air-pollution-related deaths are from noncommunicable diseases?,Close to 84% of air-pollution-related deaths are from noncommunicable diseases.
Which major noncommunicable diseases are specifically mentioned as accounting for air-pollution-related deaths?,"Heart disease, stroke, chronic obstructive pulmonary disease (COPD), and lung cancer are specifically mentioned."
Why does the technical brief say that the current air-pollution disease burden is likely underestimated?,"Current estimates do not include several health outcomes with emerging evidence, such as neurocognitive development problems, neurodegenerative diseases, psychiatric disorders, cancers other than lung cancer, chronic kidney diseases, and eye and skin diseases. The burden is also expected to increase as evidence strengthens and population ageing increases susceptibility."
Why are reliable health data and the use of ICD codes important for air-pollution health surveillance?,"Reliable health data and linking air-pollution exposure with relevant health outcomes using ICD codes are critical for disease surveillance, impact assessment, prioritizing interventions, planning and research."
How long has evidence on the health effects of air pollution been documented?,The brief states that evidence on air-pollution health effects has been well documented over the last six decades.
When was the first edition of the WHO global air quality guidelines published?,The first edition of the WHO global air quality guidelines was published in 1987.
Why is particulate matter considered a good indicator of air pollution in the brief?,"Particulate matter is considered a good indicator because it arises from multiple sources, is ubiquitous in the environment, and has the largest body of evidence concerning health impacts."
What is particulate matter described as consisting of?,"Particulate matter consists of a complex mixture of solid particles and liquid droplets of varying size, shape and composition."
What are the other two main air pollutants mentioned alongside particulate matter?,Nitrogen dioxide and ground-level ozone.
What is the main pathway through which humans are exposed to air pollutants?,Inhalation is the main pathway of exposure.
What other routes of human exposure to air pollutants are mentioned?,"Dermal absorption, ocular exposure and ingestion are also mentioned."
How can inhaled small particles reach organs beyond the respiratory system?,"Small particles can penetrate deep into the respiratory system and enter the bloodstream, allowing them to reach almost all organs of the body."
What biological effects of air pollution on cells and tissues are described?,"The brief describes oxidative stress, inflammation, immune responses, DNA damage, skin damage, and direct damage to body parts such as the eyes, nose, throat, lungs, gut, neurons, bones and blood cells."
What cardiovascular outcomes are associated with air pollution in the technical brief?,"The brief lists cardiovascular disease mortality and morbidity, myocardial infarction, arrhythmia, congestive heart failure, changes in heart-rate variability and ST-segment depression."
What respiratory outcomes are associated with air pollution?,"Respiratory disease mortality and morbidity, lung cancer, pneumonia, upper and lower respiratory symptoms, airway inflammation, decreased lung function and decreased lung growth are listed."
What reproductive health outcomes are associated with air pollution?,"The brief lists premature birth, decreased birth weight, decreased fetal growth, intrauterine growth retardation, decreased sperm quality and pre-eclampsia."
How does short-term exposure to high peaks of air pollution affect healthy people?,"It can cause mild symptoms such as a runny nose and eyes, cough and headaches."
How can short-term air-pollution exposure affect people with chronic lung or heart disease?,"It can trigger more severe exacerbations of existing disease and may lead to medication use, doctor visits, hospitalizations, sick days, productivity losses, reduced quality of life or death."
What does the technical brief say about short-term exposure and daily mortality?,Short-term exposure to air pollution is correlated with the daily number of deaths.
Why can health effects remain high even after reductions in air pollution?,"The brief suggests several possible factors, including differences in chemical composition, toxicity and sources of air pollution, as well as socioeconomic determinants and changes in population distribution and susceptibility."
How does long-term exposure to air pollution compare with acute exposure in terms of mortality risk?,"Long-term exposure over several years, decades or a lifetime can pose greater risks than acute exposure, even at low pollution levels, and increases the risk of premature mortality."
What annual guideline value for PM2.5 did the 2021 WHO global air quality guidelines establish?,The annual guideline value for PM2.5 was lowered to 5 µg/m³.
What annual guideline value for nitrogen dioxide did the 2021 WHO global air quality guidelines establish?,The annual guideline value for nitrogen dioxide was lowered to 10 µg/m³.
What does the technical brief say about health risks at low PM2.5 exposure levels?,It states that health risks are not necessarily linear and that strong effects can occur even at low exposure levels.
Which respiratory diseases are linked to long-term air-pollution exposure?,"The brief links long-term exposure with asthma in children and adults, acute lower respiratory infections in children, COPD, and premature death from respiratory diseases."
What cardiovascular diseases are linked to long-term air-pollution exposure?,"Long-term exposure is linked to ischaemic heart disease, stroke, hypertension and premature cardiovascular mortality."
What is the relationship between air pollution and lung cancer described in the brief?,There is clear evidence linking long-term air-pollution exposure with both the incidence of and mortality from lung cancer.
When were outdoor air pollution and particulate matter classified as carcinogenic to humans?,They were classified as carcinogenic to humans by the International Agency for Research on Cancer in 2013.
What evidence does the brief provide regarding air pollution and type 2 diabetes?,"It describes biological evidence involving increased blood glucose, inflammation in adipose tissue and insulin resistance, followed by epidemiological evidence suggesting a causal relationship between air pollution and type 2 diabetes incidence."
How can long-term air pollution exposure affect the nervous system?,"It can affect the brain through inflammatory reactions and oxidative stress in nerve cells, potentially causing neurological damage, impairing cognitive development in children and promoting cognitive decline in adults."
What reproductive effects of air pollution are described for pregnancy?,"The brief describes reduced intrauterine growth, premature birth, stillbirth, birth defects, pre-eclampsia, gestational diabetes and hypertension in pregnant women."
Why are children more susceptible to air pollution than adults?,"Their lungs, brains and immune systems are still developing; they breathe faster and inhale more air per unit of body weight; and they are more active and spend more time outdoors."
Why are people with lower socioeconomic status particularly vulnerable to air pollution?,"They are often more exposed because low-income residential areas can have poorer housing and be closer to pollution sources. They may also face more health risks, less access to education and preventive health care, and more comorbidities."
Which occupational or activity-based groups are identified as more vulnerable to air pollution?,"Outdoor workers, athletes and recreational sports people who spend substantial time outdoors, especially in polluted environments, are identified as more vulnerable."
What percentage of the world's population is exposed to PM2.5 levels above the WHO guideline mentioned in the brief?,The brief states that 99% of the world's population is exposed to PM2.5 levels above the WHO guideline of 5 µg/m³.
"What was the PM2.5-attributable mortality rate per 100,000 people for low- and middle-income countries?","The rate was around 111 deaths per 100,000 people."
What was the corresponding PM2.5-attributable mortality rate for high-income countries?,"The rate was about 19 deaths per 100,000 people."
Which WHO regions were described as having particularly high PM2.5-attributable mortality burdens?,"The WHO African, South-East Asia and Eastern Mediterranean regions were identified as having considerably high burdens."
What are the major global sources of ambient PM2.5 and their approximate contributions?,"Dust contributes 34%, households 17%, industry 12%, power plants 7%, agriculture 13%, transport 10%, and waste 3%."
Which PM2.5 sources are particularly important in the African and Eastern Mediterranean regions?,"Dust is the main source, followed by household emissions."
Which source dominates PM2.5 emissions in the Western Pacific Region?,Industry emissions dominate in the Western Pacific Region.
What are the main contributors to PM2.5 in the Region of the Americas?,Natural dust and transport are the main contributors.
"How much can the outdoor environment contribute to indoor particulate matter, according to the brief?","The contribution of the outdoor environment to indoor particulate matter can range from 10% to 90%, depending heavily on ventilation rates."
Why does the technical brief say that source-specific regulation of PM2.5 remains difficult?,"Although PM2.5 from different sources may have different toxicities, there are currently no clear conclusions identifying specific PM2.5 sources as the specific drivers of particular health effects."
How are climate change and air pollution connected?,"Greenhouse gases and most air pollutants share sources such as fossil-fuel combustion. Global warming and extreme weather can also worsen air quality by altering pollutant dispersion, composition and toxicity."
Which air-pollution exposures are expected to increase with global warming?,"The brief identifies increased exposure to ground-level ozone, sand and dust storms, and wildfires."
What research gaps does the technical brief identify regarding PM2.5?,"More research is needed to understand how different PM2.5 components or sources, such as black carbon, ultrafine particles, organic carbon and crustal materials, are linked to different health outcomes."
What happened to air pollution levels in China after major action plans were implemented?,"Air pollution levels were remarkably reduced during the last decade following the Air Pollution Prevention and Control Action Plan (2013–2017), the Three-Year Action Plan for Blue Skies (2018–2020), and the ongoing Action Plan for Continuous Improvement of Air Quality (2023)."
What was the mean percentage change in PM2.5 during the COVID-19-related reduction period studied across 27 LMICs?,The systematic review found a mean percentage change of -30.6% in PM2.5 during January 2019 to March 2022.
What health improvements were associated with reductions in air pollution in Switzerland?,Studies found that reductions in PM10 helped improve lung function and reduce lung symptoms in adults.
What happened to asthma and bronchitis cases in southern California after declines in nitrogen dioxide and PM2.5?,A decline in nitrogen dioxide and PM2.5 between 1993 and 2014 led to fewer cases of asthma and bronchitis among children in southern California.
What health improvements were associated with Stockholm's air-quality improvement between 2002 and 2019?,"Air quality improved from around 8 to 5 µg/m³, and this contributed to improved lung function and fewer asthma cases in children."
"What is described as the most efficient, sustainable and equitable measure for protecting health from air pollution?","Reducing emissions at the source is described as the most efficient, sustainable and equitable measure."
What transport-sector actions does the brief recommend to reduce air pollution?,"Recommended actions include expanding public transport, improving cycling and pedestrian infrastructure, limiting car traffic, promoting carpooling and carsharing, electrifying transport, and reducing emissions from ships and aircraft or airports."
What energy-sector actions are recommended for reducing air pollution?,"The brief recommends moving away from fossil fuels toward renewable energy, replacing polluting cooking fuels and technologies with clean alternatives, improving district or central heating, promoting solar heating and heat pumps, and supporting energy retrofitting for efficiency and green buildings."
What agriculture-related action does the technical brief recommend?,It recommends controlling agricultural waste burning and supporting sustainable agriculture practices.
What urban-planning measures are recommended to improve air quality?,"Urban planning should promote green-city development, including parks, street planting, green roofs and green walls."
What waste-management measures are recommended?,"Waste management should include waste sorting, recycling and reuse to reduce waste dumps and incineration."
What does the brief say about face masks and air purifiers as measures against air-pollution exposure?,"They can help reduce exposure in very specific situations, but the brief states that there is generally poor evidence on the effectiveness of these measures."
What international agreements are mentioned as examples of mechanisms for reducing pollution?,The brief mentions the Gothenburg Protocol under the Convention on Long-Range Transboundary Air Pollution and emission standards established under the International Maritime Organization.
How was the technical brief's evidence gathered and reviewed?,"WHO defined the scope and collaborated with advisory groups to prepare the initial draft based on an overview of air-pollution health effects. Evidence for the rapid review was gathered and discussed monthly with experts, and WHO staff and consultants reviewed the report for alignment with WHO requirements."
